Date,Close,High,Low,Open,Volume
09 March 2017,117.3387527,118.7096296,116.4778192,118.643408,5694529
10 March 2017,117.7692413,118.8685833,117.4977064,118.020894,3242914
13 March 2017,116.8619537,117.9215628,116.8354651,117.7824921,3642381
14 March 2017,116.3718948,117.1003748,116.0341382,116.6765354,3292285
15 March 2017,116.4315262,116.7427837,115.7295241,116.365294,3991013
16 March 2017,117.3784943,118.5440683,117.1003424,118.1864505,4510143
17 March 2017,116.3255157,117.0804843,116.3255157,116.7493657,6193366
20 March 2017,116.3586349,116.6765198,115.9877728,116.3255189,2590001
21 March 2017,115.1533279,116.7096254,115.1268287,116.5639273,4108374
22 March 2017,115.7493973,115.9348284,114.4381245,115.2593255,3609223
23 March 2017,115.7758331,116.3387537,114.9413882,115.5175531,3912040
24 March 2017,115.1202469,116.2262167,114.8288506,115.9745534,3369898
27 March 2017,115.0805054,115.3387855,113.9679082,114.3652591,3408914
28 March 2017,115.5705566,115.8950584,114.5705417,115.1930671,3685999
29 March 2017,115.1930542,115.5572888,114.8751694,115.4314625,3227538
30 March 2017,115.1400833,115.623538,115.0275013,115.1400833,3314042
31 March 2017,115.325531,115.8619525,115.0275073,115.2195659,3047730
03 April 2017,115.5639191,115.8089548,114.8221949,115.1135805,4483679
04 April 2017,115.5771942,115.8685905,114.742749,114.9149358,3251909
05 April 2017,114.4910812,116.7758694,114.4447208,115.6963885,6525889
06 April 2017,114.2062988,114.8818015,114.0738556,114.8818015,3593428
07 April 2017,114.0010223,114.5241995,113.4314742,113.9612788,3753362
10 April 2017,113.3784866,114.2791534,113.2460328,114.2592922,3964235
11 April 2017,112.9678879,113.3983547,111.9082682,113.0142377,5116927
12 April 2017,113.0208664,113.3784842,112.5970164,113.2725191,3427637
13 April 2017,112.2725067,113.4844413,112.2725067,112.5307868,3352953
17 April 2017,113.3122711,113.4447143,112.3321278,112.4182212,3891329
18 April 2017,112.6168823,113.70298,112.4711842,113.1069539,6637393
19 April 2017,107.0804138,107.7095667,105.6963029,107.1267742,20171378
20 April 2017,107.4843979,107.5506301,106.2923349,106.8353838,6785193
21 April 2017,106.2128525,107.3585549,106.2128525,107.3188219,5865759
24 April 2017,106.4579239,107.0009729,106.2393767,106.8155418,5565348
25 April 2017,106.2195129,107.3122385,106.2128961,107.1400517,5083978
26 April 2017,106.0009232,106.6896701,105.8883411,106.3121911,4526879
27 April 2017,106.1731262,106.2790914,105.7161707,106.153265,4312240
28 April 2017,106.153244,106.3519194,105.7625102,106.2923147,4345189
01 May 2017,105.1930008,106.2393658,105.10028,105.9943299,5162324
02 May 2017,105.3651657,105.6234458,105.0605252,105.5903297,3355777
03 May 2017,105.053894,105.5969534,104.981045,105.1267431,4176992
04 May 2017,105.3320465,105.3916512,104.875091,105.2260814,4477508
05 May 2017,102.6830215,103.1664763,101.3253993,101.6697728,13097280
08 May 2017,102.3352966,102.6295395,101.7802612,102.1814937,7836632
09 May 2017,101.7200699,102.3821056,101.3522664,102.0477416,7168238
